Zulu dateTime;measure_temperature;measure_temperature;measure_temperature;
2019-06-08 02:00:00;;;;
2019-06-08 03:00:00;;;;
2019-06-08 04:00:00;;;;
2019-06-08 05:00:00;;;;
2019-06-08 06:00:00;;;;
2019-06-08 07:00:00;;;;
2019-06-08 08:00:00;;;;
2019-06-08 09:00:00;;;;
2019-06-08 10:00:00;;;;
2019-06-08 11:00:00;;;;
2019-06-08 12:00:00;;;;
2019-06-08 13:00:00;;;;
2019-06-08 14:00:00;;;;
2019-06-08 15:00:00;;;;
2019-06-08 16:00:00;;;;
2019-06-08 17:00:00;;;;
2019-06-08 18:00:00;;;;
2019-06-08 19:00:00;;;;
2019-06-08 20:00:00;;;;
2019-06-08 21:00:00;;;;
2019-06-08 22:00:00;;;;
2019-06-08 23:00:00;;;;
2019-06-09 00:00:00;;;;
2019-06-09 01:00:00;;;;
2019-06-09 02:00:00;;;;
2019-06-09 03:00:00;;;;
2019-06-09 04:00:00;;;;
2019-06-09 05:00:00;;;;
2019-06-09 06:00:00;;;;
2019-06-09 07:00:00;;;;
2019-06-09 08:00:00;;;;
2019-06-09 09:00:00;;;;
2019-06-09 10:00:00;;;;
2019-06-09 11:00:00;;;;
2019-06-09 12:00:00;;;;
2019-06-09 13:00:00;;;;
2019-06-09 14:00:00;;;;
2019-06-09 15:00:00;;;;
2019-06-09 16:00:00;;;;
2019-06-09 17:00:00;;;;
2019-06-09 18:00:00;;;;
2019-06-09 19:00:00;;;;
2019-06-09 20:00:00;;;;
2019-06-09 21:00:00;;;;
2019-06-09 22:00:00;;;;
2019-06-09 23:00:00;;;;
2019-06-10 00:00:00;;;;
2019-06-10 01:00:00;;;;
2019-06-10 02:00:00;;;;
2019-06-10 03:00:00;;;;
2019-06-10 04:00:00;;;;
2019-06-10 05:00:00;;;;
2019-06-10 06:00:00;;;;
2019-06-10 07:00:00;;;;
2019-06-10 08:00:00;;;;
2019-06-10 09:00:00;;;;
2019-06-10 10:00:00;;;;
2019-06-10 11:00:00;;;;
2019-06-10 12:00:00;;;;
2019-06-10 13:00:00;;;;
2019-06-10 14:00:00;;;;
2019-06-10 15:00:00;;;;
2019-06-10 16:00:00;;;;
2019-06-10 17:00:00;;;;
2019-06-10 18:00:00;;;;
2019-06-10 19:00:00;;;;
2019-06-10 20:00:00;;;;
2019-06-10 21:00:00;;;;
2019-06-10 22:00:00;;;;
2019-06-10 23:00:00;;;;
2019-06-11 00:00:00;;;;
2019-06-11 01:00:00;;;;
2019-06-11 02:00:00;;;;
2019-06-11 03:00:00;;;;
2019-06-11 04:00:00;;;;
2019-06-11 05:00:00;;;;
2019-06-11 06:00:00;;;;
2019-06-11 07:00:00;;;;
2019-06-11 08:00:00;;;;
2019-06-11 09:00:00;;;;
2019-06-11 10:00:00;;;;
2019-06-11 11:00:00;;;;
2019-06-11 12:00:00;;;;
2019-06-11 13:00:00;;;;
2019-06-11 14:00:00;;;;
2019-06-11 15:00:00;;;;
2019-06-11 16:00:00;;;;
2019-06-11 17:00:00;24,075833333333282;25,123013888888956;;
2019-06-11 18:00:00;24,230527777777855;24,50352777777797;;
2019-06-11 19:00:00;24,80719444444448;24,204666666666547;;
2019-06-11 20:00:00;23,90158333333355;24,01566666666664;;
2019-06-11 21:00:00;23,597541666666768;24,42709722222216;;
2019-06-11 22:00:00;23,290513888888828;24,52212499999973;;
2019-06-11 23:00:00;22,920138888888943;23,664055555555844;;
2019-06-12 00:00:00;22,85519444444454;23,386236111110925;;
2019-06-12 01:00:00;22,623652777777625;23,232361111111175;;
2019-06-12 02:00:00;22,332361111111148;22,578638888888754;;
2019-06-12 03:00:00;22,32343055555552;22,46077777777757;;
2019-06-12 04:00:00;22,19108333333341;22,568333333333285;;
2019-06-12 05:00:00;22,66170833333333;22,70201388888886;;
2019-06-12 06:00:00;23,274805555555336;23,411152777777883;;
2019-06-12 07:00:00;23,344222222222193;23,495000000000104;;
2019-06-12 08:00:00;23,275583333333145;23,58125000000009;;
2019-06-12 09:00:00;23,274999999999718;23,595708333333487;;
2019-06-12 10:00:00;23,29949999999966;23,770472222222157;;
2019-06-12 11:00:00;23,263722222222047;23,826666666666785;;
2019-06-12 12:00:00;23,271305555555525;23,926222222221945;;
2019-06-12 13:00:00;23,313499999999834;24,527652777777746;;
2019-06-12 14:00:00;23,613638888888943;24,999250000000323;;
2019-06-12 15:00:00;24,072347222222202;24,70823611111111;;
2019-06-12 16:00:00;25,21248611111136;24,16266666666661;;
2019-06-12 17:00:00;24,733861111111256;23,961805555555173;;
2019-06-12 18:00:00;24,947652777777968;24,142444444444216;;
2019-06-12 19:00:00;24,07950000000002;24,326583333333506;;
2019-06-12 20:00:00;23,53654166666647;24,28905555555545;;
2019-06-12 21:00:00;23,28666666666638;24,107249999999812;;
2019-06-12 22:00:00;23,216861111111;23,460027777777658;;
2019-06-12 23:00:00;23,141805555555685;22,858833333333358;;
2019-06-13 00:00:00;23,10505555555532;23,12172222222221;;
2019-06-13 01:00:00;23,188083333333292;22,71124999999971;;
2019-06-13 02:00:00;22,891361111111312;22,39416666666644;;
2019-06-13 03:00:00;22,697500000000005;22,41312499999978;;
2019-06-13 04:00:00;22,58933333333307;22,339791666666365;;
2019-06-13 05:00:00;22,53812499999985;22,348749999999697;;
2019-06-13 06:00:00;22,453972222222077;22,414374999999698;;
2019-06-13 07:00:00;22,68350000000014;22,41104166666633;;
2019-06-13 08:00:00;24,25395833333321;23,096444444444188;;
2019-06-13 09:00:00;23,45568055555548;23,123472222221803;;
2019-06-13 10:00:00;23,178361111111077;23,457027777777924;;
2019-06-13 11:00:00;23,290166666666604;23,541055555555772;;
2019-06-13 12:00:00;23,263333333333172;24,083527777777775;;
2019-06-13 13:00:00;23,403569444444283;24,6;;
2019-06-13 14:00:00;24,26459722222229;24,589097222222268;;
2019-06-13 15:00:00;25,296916666666714;24,26047222222211;;
2019-06-13 16:00:00;24,16855555555561;23,873722222222266;;
2019-06-13 17:00:00;23,84500000000009;23,815388888888762;;
2019-06-13 18:00:00;23,56687499999971;23,803527777777933;;
2019-06-13 19:00:00;23,48448611111145;23,733138888889208;;
2019-06-13 20:00:00;25,201722222222127;23,897055555555482;;
2019-06-13 21:00:00;24,63818055555584;23,731583333333568;;
2019-06-13 22:00:00;23,882527777778034;23,61480555555568;;
2019-06-13 23:00:00;23,452472222222042;23,578138888889157;;
2019-06-14 00:00:00;23,35647222222198;23,371583333333106;;
2019-06-14 01:00:00;23,228138888888815;23,087305555555503;;
2019-06-14 02:00:00;23,1466666666667;22,86000000000034;;
2019-06-14 03:00:00;23,02825000000022;22,717666666666776;;
2019-06-14 04:00:00;22,902250000000112;22,551416666666658;;
2019-06-14 05:00:00;22,71266666666651;22,55122222222232;;
2019-06-14 06:00:00;22,514569444444398;22,561916666666484;;
2019-06-14 07:00:00;22,534999999999847;22,559972222222168;;
2019-06-14 08:00:00;22,455624999999745;22,481541666666462;;
2019-06-14 09:00:00;22,4270833333331;22,524333333333058;;
2019-06-14 10:00:00;22,307027777777755;22,46269444444409;;
2019-06-14 11:00:00;22,319805555555387;22,540722222222087;;
2019-06-14 12:00:00;22,430652777777357;22,61247222222233;;
2019-06-14 13:00:00;22,639805555555675;22,773833333333435;;
2019-06-14 14:00:00;23,17136111111081;23,88266666666631;;
2019-06-14 15:00:00;23,28724999999981;24,112694444444607;;
2019-06-14 16:00:00;23,56854166666667;23,999819444444583;;
2019-06-14 17:00:00;25,477875000000026;24,212444444444657;;
2019-06-14 18:00:00;24,492888888888817;24,058055555555555;;
2019-06-14 19:00:00;23,98927777777815;24,02247222222203;;
2019-06-14 20:00:00;24,55226388888876;24,245500000000177;;
2019-06-14 21:00:00;26,014541666666823;24,58711111111112;;
2019-06-14 22:00:00;24,973236111110943;24,356388888889082;;
2019-06-14 23:00:00;26,502236111111007;24,682749999999952;;
2019-06-15 00:00:00;25,76134722222234;24,5429166666668;;
2019-06-15 01:00:00;25,002208333333506;24,340194444444606;;
2019-06-15 02:00:00;24,462944444444688;24,27213888888873;;
2019-06-15 03:00:00;24,428333333333576;24,24452777777797;;
2019-06-15 04:00:00;24,358083333333564;24,365277777778157;;
2019-06-15 05:00:00;24,864041666666623;24,38491666666667;;
2019-06-15 06:00:00;25,031388888888603;24,351666666666855;;
